LinkS;TranspS;Instance;Demands;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro
2x;efficient;European_18_40;30;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;30;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;10-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;70-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;90;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;90;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;60;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;60;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;10;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;10;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;50;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;50;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;60-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;20-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;30-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;70;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;70;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;40;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;40;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;20;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;20;NLUS;0;1;1;0;1;0;0;2;
